DATE,DFF
2005-01-01,1.970
2005-01-02,1.970
2005-01-03,2.310
2005-01-04,2.250
2005-01-05,2.250
2005-01-06,2.250
2005-01-07,2.240
2005-01-08,2.240
2005-01-09,2.240
2005-01-10,2.260
2005-01-11,2.240
2005-01-12,2.250
2005-01-13,2.290
2005-01-14,2.290
2005-01-15,2.290
2005-01-16,2.290
2005-01-17,2.290
2005-01-18,2.310
2005-01-19,2.190
2005-01-20,2.250
2005-01-21,2.260
2005-01-22,2.260
2005-01-23,2.260
2005-01-24,2.260
2005-01-25,2.290
2005-01-26,2.330
2005-01-27,2.390
2005-01-28,2.480
2005-01-29,2.480
2005-01-30,2.480
2005-01-31,2.500
2005-02-01,2.400
2005-02-02,2.290
2005-02-03,2.490
2005-02-04,2.510
2005-02-05,2.510
2005-02-06,2.510
2005-02-07,2.500
2005-02-08,2.480
2005-02-09,2.500
2005-02-10,2.510
2005-02-11,2.500
2005-02-12,2.500
2005-02-13,2.500
2005-02-14,2.510
2005-02-15,2.530
2005-02-16,2.480
2005-02-17,2.500
2005-02-18,2.510
2005-02-19,2.510
2005-02-20,2.510
2005-02-21,2.510
2005-02-22,2.570
2005-02-23,2.530
2005-02-24,2.550
2005-02-25,2.540
2005-02-26,2.540
2005-02-27,2.540
2005-02-28,2.520
2005-03-01,2.390
2005-03-02,2.480
2005-03-03,2.510
2005-03-04,2.500
2005-03-05,2.500
2005-03-06,2.500
2005-03-07,2.510
2005-03-08,2.490
2005-03-09,2.500
2005-03-10,2.520
2005-03-11,2.510
2005-03-12,2.510
2005-03-13,2.510
2005-03-14,2.590
2005-03-15,2.610
2005-03-16,2.570
2005-03-17,2.680
2005-03-18,2.700
2005-03-19,2.700
2005-03-20,2.700
2005-03-21,2.710
2005-03-22,2.720
2005-03-23,2.730
2005-03-24,2.750
2005-03-25,2.800
2005-03-26,2.800
2005-03-27,2.800
2005-03-28,2.790
2005-03-29,2.720
2005-03-30,2.740
2005-03-31,2.960
2005-04-01,2.830
2005-04-02,2.830
2005-04-03,2.830
2005-04-04,2.780
2005-04-05,2.720
2005-04-06,2.730
2005-04-07,2.760
2005-04-08,2.750
2005-04-09,2.750
2005-04-10,2.750
2005-04-11,2.780
2005-04-12,2.770
2005-04-13,2.760
2005-04-14,2.790
2005-04-15,2.820
2005-04-16,2.820
2005-04-17,2.820
2005-04-18,2.750
2005-04-19,2.740
2005-04-20,2.740
2005-04-21,2.750
2005-04-22,2.740
2005-04-23,2.740
2005-04-24,2.740
2005-04-25,2.820
2005-04-26,2.780
2005-04-27,2.630
2005-04-28,2.890
2005-04-29,2.970
2005-04-30,2.970
2005-05-01,2.970
2005-05-02,2.980
2005-05-03,2.950
2005-05-04,2.990
2005-05-05,2.990
2005-05-06,2.980
2005-05-07,2.980
2005-05-08,2.980
2005-05-09,2.990
2005-05-10,2.990
2005-05-11,2.990
2005-05-12,3.010
2005-05-13,3.010
2005-05-14,3.010
2005-05-15,3.010
2005-05-16,3.060
2005-05-17,2.990
2005-05-18,3.000
2005-05-19,3.020
2005-05-20,3.010
2005-05-21,3.010
2005-05-22,3.010
2005-05-23,3.010
2005-05-24,2.990
2005-05-25,3.010
2005-05-26,3.010
2005-05-27,3.010
2005-05-28,3.010
2005-05-29,3.010
2005-05-30,3.010
2005-05-31,3.090
2005-06-01,3.020
2005-06-02,3.000
2005-06-03,2.990
2005-06-04,2.990
2005-06-05,2.990
2005-06-06,3.000
2005-06-07,2.960
2005-06-08,2.960
2005-06-09,3.010
2005-06-10,3.010
2005-06-11,3.010
2005-06-12,3.010
2005-06-13,3.040
2005-06-14,3.010
2005-06-15,3.050
2005-06-16,3.000
2005-06-17,2.990
2005-06-18,2.990
2005-06-19,2.990
2005-06-20,3.010
2005-06-21,2.960
2005-06-22,2.930
2005-06-23,3.050
2005-06-24,3.070
2005-06-25,3.070
2005-06-26,3.070
2005-06-27,3.170
2005-06-28,3.170
2005-06-29,3.200
2005-06-30,3.350
2005-07-01,3.360
2005-07-02,3.360
2005-07-03,3.360
2005-07-04,3.360
2005-07-05,3.270
2005-07-06,2.990
2005-07-07,3.180
2005-07-08,3.220
2005-07-09,3.220
2005-07-10,3.220
2005-07-11,3.230
2005-07-12,3.230
2005-07-13,3.270
2005-07-14,3.320
2005-07-15,3.320
2005-07-16,3.320
2005-07-17,3.320
2005-07-18,3.190
2005-07-19,3.130
2005-07-20,3.250
2005-07-21,3.270
2005-07-22,3.250
2005-07-23,3.250
2005-07-24,3.250
2005-07-25,3.280
2005-07-26,3.250
2005-07-27,3.270
2005-07-28,3.270
2005-07-29,3.310
2005-07-30,3.310
2005-07-31,3.310
2005-08-01,3.300
2005-08-02,3.200
2005-08-03,3.350
2005-08-04,3.440
2005-08-05,3.490
2005-08-06,3.490
2005-08-07,3.490
2005-08-08,3.500
2005-08-09,3.470
2005-08-10,3.480
2005-08-11,3.510
2005-08-12,3.550
2005-08-13,3.550
2005-08-14,3.550
2005-08-15,3.610
2005-08-16,3.460
2005-08-17,3.570
2005-08-18,3.500
2005-08-19,3.540
2005-08-20,3.540
2005-08-21,3.540
2005-08-22,3.510
2005-08-23,3.490
2005-08-24,3.500
2005-08-25,3.550
2005-08-26,3.540
2005-08-27,3.540
2005-08-28,3.540
2005-08-29,3.540
